Test Accuracy : 0.5867
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
-----------------------------------------------------------
entailment || contradiction || and um i think from there on   through the movie let's see what else did it || What is this movie?
neutral || entailment || What makes you think that? || The person stating this line wants further information from the person they are speaking to.
neutral || contradiction || Instead of equalizing things by scrapping the New York payment scheme, Congress decided to equalize things by nationalizing it. || Congress simply scrapped the New York payment scheme.
neutral || neutral || Let's hear it. || Tell us in full detail.
neutral || neutral || This one's name was Popeye, and he was a gelding. || Popeye had been a gelding all of his life.
contradiction || contradiction || The cover story christens professional wrestling a new American art form, albeit a savage  Fifty episodes of a popular wrestling TV show included 1,658 instances of grabbing or pointing to one's crotch, 157 instances of an obscene finger gesture, 128 episodes of simulated sexual activity, and 21 references to urination. || TV has banned the screening of professional wrestling.
contradiction || entailment || And, it is a dangerous one to ignore, either as an individual or as a business person. || This should be paid attention to by everyone it is applicable to.
neutral || neutral || Irradiation also seems more cost-effective than changing farming and slaughtering practices. || Irradiation could be considered dangerous for public health.
entailment || entailment || To fish from a boat, obtain a license from the Commandancia de Marina, Moll Muelle Viejo s/n, Palma. || You can get a license to fish from a boat.
entailment || entailment || but maybe i'll try it one day || Perhaps in the future I will try it. 
neutral || entailment || yeah or if it if it does get worse it doesn't stay for very long || It might not worsen but it will go away soon if it does become worse. 
contradiction || neutral || so let's see i was trying to think of i don't think i've ever watched any soap operas i think my mom used to watch Young and the Restless but i don't i don't watch them || My mom used to watch soap operas all of the time.
entailment || entailment || Economic and econometric theory underlying analysis available in technical paper by same title that can be downloaded from //www-leland.stanford.edu/~wolak || The paper deals with economic theories.
entailment || entailment || A'deem was apparently not paying him enough for that. || A'deem did not have enough money. 
entailment || contradiction || Prosperity was based entirely on the entrepot  handling textiles from India, spices from Indonesia, silk and porcelain from China, gold and pepper from Sumatra, camphor from Borneo, sandalwood from Timor, and Malay tin from Perak. || Property was dependent on the Magistrate handling imports from Britain.
entailment || entailment || um uh you just exchange your insurance information || Just swap your insurance information.
entailment || entailment || He had saved my life before. || He saved me.
