contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
neutral || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church is filled with song.
entailment || this church choir sings to the masses as they sing joyous songs from the book at a church. || a choir singing at a baseball game.
entailment || a woman with a green headscarf, blue shirt and a very big grin. || the woman is young.
neutral || a woman with a green headscarf, blue shirt and a very big grin. || the woman is very happy.
neutral || a woman with a green headscarf, blue shirt and a very big grin. || the woman has been shot.
entailment || an old man with a package poses in front of an advertisement. || a man poses in front of an ad.
neutral || an old man with a package poses in front of an advertisement. || a man poses in front of an ad for beer.
entailment || an old man with a package poses in front of an advertisement. || a man walks by an ad.
neutral || a statue at a museum that no seems to be looking at. || the statue is offensive and people are mad that it is on display.
entailment || a statue at a museum that no seems to be looking at. || there is a statue that not many people seem to be interested in.
entailment || a statue at a museum that no seems to be looking at. || tons of people are gathered around the statue.
neutral || a land rover is being driven across a river. || a land rover is splashing water as it crosses a river.
entailment || a land rover is being driven across a river. || a vehicle is crossing a river.
contradiction || a land rover is being driven across a river. || a sedan is stuck in the middle of a river.
contradiction || a man playing an electric guitar on stage. || a man playing banjo on the floor.
entailment || a man playing an electric guitar on stage. || a man playing guitar on stage.
neutral || a man playing an electric guitar on stage. || a man is performing for cash.
contradiction || a blond-haired doctor and her african american assistant looking threw new medical manuals. || a doctor is looking at a book
entailment || a blond-haired doctor and her african american assistant looking threw new medical manuals. || a man is eating pb and j
contradiction || a blond-haired doctor and her african american assistant looking threw new medical manuals. || a doctor is studying
contradiction || one tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. || a boy runs into a wall
entailment || one tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. || a tan girl runs leans over an object
neutral || one tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. || a man watches his daughter leap
neutral || a young family enjoys feeling ocean waves lap at their feet. || a young man and woman take their child to the beach for the first time.
contradiction || a young family enjoys feeling ocean waves lap at their feet. || a family is out at a restaurant.
neutral || a young family enjoys feeling ocean waves lap at their feet. || a family is at the beach.
entailment || a couple walk hand in hand down a street. || a couple is walking together.
neutral || a couple walk hand in hand down a street. || the couple is married.
contradiction || a couple walk hand in hand down a street. || a couple is sitting on a bench.
contradiction || 3 young man in hoods standing in the middle of a quiet street facing the camera. || three people sit by a busy street bareheaded.
entailment || 3 young man in hoods standing in the middle of a quiet street facing the camera. || three hood wearing people pose for a picture.
entailment || 3 young man in hoods standing in the middle of a quiet street facing the camera. || three hood wearing people stand in a street.
contradiction || a man reads the paper in a bar with green lighting. || the man is inside.
contradiction || a man reads the paper in a bar with green lighting. || the man is reading the sportspage.
entailment || a man reads the paper in a bar with green lighting. || the man is climbing a mountain.
contradiction || three firefighter come out of subway station. || three firefighters putting out a fire inside of a subway station.
entailment || three firefighter come out of subway station. || three firefighters coming up from a subway station.
contradiction || three firefighter come out of subway station. || three firefighters playing cards inside a fire station.
entailment || a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. || a person is near a pile of coconuts.
neutral || a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. || a person is selling coconuts.
contradiction || a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. || a person is burning a straw hat.
contradiction || male in a blue jacket decides to lay in the grass. || the guy in yellow is rolling on the grass
contradiction || male in a blue jacket decides to lay in the grass. || the guy wearing a blue jacket is laying on the green grass
contradiction || male in a blue jacket decides to lay in the grass. || the guy wearing a blue jacket is laying on the green grass taking a nap.
neutral || during calf roping a cowboy calls off his horse. || a first time roper falls off his horse.
entailment || during calf roping a cowboy calls off his horse. || a man ropes a calf successfully.
entailment || a little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. || a boy is on a playground.
neutral || a little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. || the boy is playing on the swings after school.
contradiction || a little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. || the boy is sitting on the school bus on his way home.
neutral || a woman wearing a ball cap squats down to touch the cracked earth. || an archeologist wearing a hat squats to examine the site for a dig
entailment || a woman wearing a ball cap squats down to touch the cracked earth. || a squatting woman wearing a hat touching the ground.
neutral || a woman wearing a ball cap squats down to touch the cracked earth. || a woman wearing a sun bonnet planting a garden.
entailment || two children re laying on a rug with some wooden bricks laid out in a square between them. || two children are building a brick furnace.
neutral || two children re laying on a rug with some wooden bricks laid out in a square between them. || two children are playing catch at a park.
entailment || two children re laying on a rug with some wooden bricks laid out in a square between them. || two children are on a rug.
entailment || a man standing in front of a building on the phone as two men to the side pain on the side. || a guy near a building stands by two other men
contradiction || a man standing in front of a building on the phone as two men to the side pain on the side. || two girls walk through a hall
entailment || a man standing in front of a building on the phone as two men to the side pain on the side. || a busy man stands with bodyguards
entailment || the two young girls are dressed as fairies, and are playing in the leaves outdoors. || girls are playing outdoors.
contradiction || the two young girls are dressed as fairies, and are playing in the leaves outdoors. || two girls play dress up indoors.
neutral || the two young girls are dressed as fairies, and are playing in the leaves outdoors. || the two girls play in the autumn.
neutral || people jump over a mountain crevasse on a rope. || some people look visually afraid to jump.
entailment || people jump over a mountain crevasse on a rope. || people are jumping outside.
contradiction || people jump over a mountain crevasse on a rope. || people slide over a mountain crevasse on a slide.
entailment || a snowboarder on a wide plain of snow || a snow field with a snowboarder on it
contradiction || a snowboarder on a wide plain of snow || a snowboarder gliding over a field of snow
contradiction || a snowboarder on a wide plain of snow || a snowmobile in a blizzard
contradiction || an older women tending to a garden. || the lady is cooking dinner
contradiction || an older women tending to a garden. || the lady is weeding her garden
entailment || an older women tending to a garden. || the lady has a garden
contradiction || a man in a black shirt overlooking bike maintenance. || a man destroys a bike.
entailment || a man in a black shirt overlooking bike maintenance. || a man watches bike repairs.
contradiction || a man in a black shirt overlooking bike maintenance. || a man learns bike maintenance.
contradiction || a man in a black shirt is looking at a bike in a workshop. || a man is wearing a red shirt
entailment || a man in a black shirt is looking at a bike in a workshop. || a man is in a black shirt
neutral || a man in a black shirt is looking at a bike in a workshop. || a man is deciding which bike to buy
contradiction || a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. || a person is in a garage.
entailment || a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. || a man repairs bicycles.
entailment || a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. || a man waits outside a garage.
entailment || three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. || some people stand around.
entailment || three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. || people run together.
entailment || three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. || people wait at a station.
entailment || a child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. || a child wearing a red top is standing behind a blond headed child
contradiction || a child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. || a child wearing a red top is standing on top of a blond headed child
neutral || a child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. || a child wearing a red top is standing behind a pretty blond headed child
contradiction || a person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. || a lady sitting on a bench in the park.
contradiction || a person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. || an old lady pushing a stroller down a busy street.
entailment || a person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. || a person outside pushing a stroller.
neutral || a dog jumping for a frisbee in the snow. || a pet is enjoying a game of fetch with his owner.
contradiction || a dog jumping for a frisbee in the snow. || a cat washes his face and whiskers with his front paw.
entailment || a dog jumping for a frisbee in the snow. || an animal is outside in the cold weather, playing with a plastic toy.
neutral || people are conversing at a dining table under a canopy. || people at a party are seated for dinner on the lawn.
entailment || people are conversing at a dining table under a canopy. || people are talking underneath a covering.
contradiction || people are conversing at a dining table under a canopy. || people are screaming at a boxing match.
neutral || a girl playing a violin along with a group of people || a girl is washing a load of laundry.
entailment || a girl playing a violin along with a group of people || a girl is playing an instrument.
contradiction || a girl playing a violin along with a group of people || a group of people are playing in a symphony.
neutral || a woman within an orchestra is playing a violin. || a woman is playing a concert.
contradiction || a woman within an orchestra is playing a violin. || a woman is playing the violin.
entailment || a woman within an orchestra is playing a violin. || a man is looking in a telescope.
neutral || three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. || three men going to work
entailment || three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. || three men look at the camera
contradiction || three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. || three men sleeping in a tent
entailment || a ford car is making a right turn as 3 males are walking across the street behind the car. || a car making a right turn had three pedestrians cross behind it.
entailment || a ford car is making a right turn as 3 males are walking across the street behind the car. || a sedan was turning a corner as walkers were crossing.
entailment || three boys in white shirts are walking behind an older model ford car. || there are three boys
entailment || three boys in white shirts are walking behind an older model ford car. || there are three girls
entailment || three boys in white shirts are walking behind an older model ford car. || the boys are on the street
entailment || three girls blow out the candles of a cake made of peeps. || some people are blowing out candles
entailment || three girls blow out the candles of a cake made of peeps. || there are three girls and a cake
entailment || three girls blow out the candles of a cake made of peeps. || there are peeps in the garden.
neutral || a crowd of people looking up at 3 people on the edge of the roof of a building. || the crowd is calling for help for the people on the roof.
contradiction || a crowd of people looking up at 3 people on the edge of the roof of a building. || the crowd on the ground is watching 3 people on the roof's edge.
contradiction || a crowd of people looking up at 3 people on the edge of the roof of a building. || three people are climbing down the ladder on the building.
contradiction || a woman working long hours. || a woman is working in a factory.
entailment || a woman working long hours. || a woman is working.
contradiction || a woman working long hours. || a woman is sleeping.
contradiction || two teenage girls conversing next to lockers. || girls talking next to the toilet.
entailment || two teenage girls conversing next to lockers. || people talking next to lockers.
neutral || two teenage girls conversing next to lockers. || girls talking about their problems next to lockers.
neutral || an old woman watches a man look down at some balls on the ground. || an elderly female is stalking a male.
contradiction || an old woman watches a man look down at some balls on the ground. || two people are sleeping on the train.
neutral || two children, both wearing tan coats, are embracing one another. || two kids are hugging after surviving a horrible car wreck.
entailment || two children, both wearing tan coats, are embracing one another. || two kids are hugging.
contradiction || two children, both wearing tan coats, are embracing one another. || two kids are running down a highway.
neutral || 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. || a couple of child relatives were hugging because they were happy to see each other.
entailment || 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. || two kids were hugging.
entailment || 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. || two youths were pushing each other.
contradiction || a large number of people wearing only white and red are walking on a street. || a large number of people wearing black walking down the street.
contradiction || a large number of people wearing only white and red are walking on a street. || a large number of men walking down the street in red and white.
entailment || a large number of people wearing only white and red are walking on a street. || a large number of people walking on a street.
neutral || a guy riding a motorcycle near junk cars || the man is test driving a motorcycle to decide whether or not he will buy it.
