Test Accuracy : 0.6626
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
-----------------------------------------------------------
contradiction || neutral || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
neutral || entailment || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church is filled with song.
entailment || contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || a choir singing at a baseball game.
entailment || neutral || a woman with a green headscarf, blue shirt and a very big grin. || the woman is young.
neutral || entailment || a woman with a green headscarf, blue shirt and a very big grin. || the woman is very happy.
neutral || contradiction || a woman with a green headscarf, blue shirt and a very big grin. || the woman has been shot.
entailment || entailment || an old man with a package poses in front of an advertisement. || a man poses in front of an ad.
neutral || neutral || an old man with a package poses in front of an advertisement. || a man poses in front of an ad for beer.
entailment || contradiction || an old man with a package poses in front of an advertisement. || a man walks by an ad.
neutral || neutral || a statue at a museum that no seems to be looking at. || the statue is offensive and people are mad that it is on display.
entailment || entailment || a statue at a museum that no seems to be looking at. || there is a statue that not many people seem to be interested in.
entailment || contradiction || a statue at a museum that no seems to be looking at. || tons of people are gathered around the statue.
neutral || entailment || a land rover is being driven across a river. || a land rover is splashing water as it crosses a river.
entailment || entailment || a land rover is being driven across a river. || a vehicle is crossing a river.
contradiction || contradiction || a land rover is being driven across a river. || a sedan is stuck in the middle of a river.
contradiction || contradiction || a man playing an electric guitar on stage. || a man playing banjo on the floor.
entailment || entailment || a man playing an electric guitar on stage. || a man playing guitar on stage.
neutral || neutral || a man playing an electric guitar on stage. || a man is performing for cash.
contradiction || entailment || a blond-haired doctor and her african american assistant looking threw new medical manuals. || a doctor is looking at a book
entailment || contradiction || a blond-haired doctor and her african american assistant looking threw new medical manuals. || a man is eating pb and j
contradiction || neutral || a blond-haired doctor and her african american assistant looking threw new medical manuals. || a doctor is studying
contradiction || contradiction || one tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. || a boy runs into a wall
entailment || entailment || one tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. || a tan girl runs leans over an object
neutral || neutral || one tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. || a man watches his daughter leap
neutral || neutral || a young family enjoys feeling ocean waves lap at their feet. || a young man and woman take their child to the beach for the first time.
contradiction || contradiction || a young family enjoys feeling ocean waves lap at their feet. || a family is out at a restaurant.
neutral || entailment || a young family enjoys feeling ocean waves lap at their feet. || a family is at the beach.
entailment || entailment || a couple walk hand in hand down a street. || a couple is walking together.
neutral || neutral || a couple walk hand in hand down a street. || the couple is married.
contradiction || contradiction || a couple walk hand in hand down a street. || a couple is sitting on a bench.
contradiction || contradiction || 3 young man in hoods standing in the middle of a quiet street facing the camera. || three people sit by a busy street bareheaded.
entailment || entailment || 3 young man in hoods standing in the middle of a quiet street facing the camera. || three hood wearing people pose for a picture.
entailment || entailment || 3 young man in hoods standing in the middle of a quiet street facing the camera. || three hood wearing people stand in a street.
contradiction || entailment || a man reads the paper in a bar with green lighting. || the man is inside.
contradiction || neutral || a man reads the paper in a bar with green lighting. || the man is reading the sportspage.
entailment || contradiction || a man reads the paper in a bar with green lighting. || the man is climbing a mountain.
contradiction || neutral || three firefighter come out of subway station. || three firefighters putting out a fire inside of a subway station.
entailment || entailment || three firefighter come out of subway station. || three firefighters coming up from a subway station.
contradiction || contradiction || three firefighter come out of subway station. || three firefighters playing cards inside a fire station.
entailment || entailment || a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. || a person is near a pile of coconuts.
neutral || neutral || a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. || a person is selling coconuts.
contradiction || contradiction || a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. || a person is burning a straw hat.
contradiction || contradiction || male in a blue jacket decides to lay in the grass. || the guy in yellow is rolling on the grass
contradiction || entailment || male in a blue jacket decides to lay in the grass. || the guy wearing a blue jacket is laying on the green grass
