Test Accuracy : 0.4711
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
-----------------------------------------------------------
neutral || contradiction || and um i think from there on   through the movie let's see what else did it || what is this movie?
neutral || entailment || what makes you think that? || the person stating this line wants further information from the person they are speaking to.
neutral || contradiction || instead of equalizing things by scrapping the new york payment scheme, congress decided to equalize things by nationalizing it. || congress simply scrapped the new york payment scheme.
contradiction || neutral || let's hear it. || tell us in full detail.
contradiction || neutral || this one's name was popeye, and he was a gelding. || popeye had been a gelding all of his life.
contradiction || contradiction || the cover story christens professional wrestling a new american art form, albeit a savage  fifty episodes of a popular wrestling tv show included 1,658 instances of grabbing or pointing to one's crotch, 157 instances of an obscene finger gesture, 128 episodes of simulated sexual activity, and 21 references to urination. || tv has banned the screening of professional wrestling.
neutral || entailment || and, it is a dangerous one to ignore, either as an individual or as a business person. || this should be paid attention to by everyone it is applicable to.
neutral || neutral || irradiation also seems more cost-effective than changing farming and slaughtering practices. || irradiation could be considered dangerous for public health.
neutral || entailment || to fish from a boat, obtain a license from the commandancia de marina, moll muelle viejo s/n, palma. || you can get a license to fish from a boat.
entailment || entailment || but maybe i'll try it one day || perhaps in the future i will try it. 
neutral || entailment || yeah or if it if it does get worse it doesn't stay for very long || it might not worsen but it will go away soon if it does become worse. 
neutral || neutral || so let's see i was trying to think of i don't think i've ever watched any soap operas i think my mom used to watch young and the restless but i don't i don't watch them || my mom used to watch soap operas all of the time.
neutral || entailment || economic and econometric theory underlying analysis available in technical paper by same title that can be downloaded from //www-leland.stanford.edu/~wolak || the paper deals with economic theories.
contradiction || entailment || a'deem was apparently not paying him enough for that. || a'deem did not have enough money. 
entailment || contradiction || prosperity was based entirely on the entrepot  handling textiles from india, spices from indonesia, silk and porcelain from china, gold and pepper from sumatra, camphor from borneo, sandalwood from timor, and malay tin from perak. || property was dependent on the magistrate handling imports from britain.
entailment || entailment || um uh you just exchange your insurance information || just swap your insurance information.
entailment || entailment || he had saved my life before. || he saved me.
neutral || neutral || the resulting increase in domestic capital would enhance worker's productivity and wages, but the payments to foreign lenders flow abroad. || domestic capital would increase worker's productivity, and cut down one wages lost to workers using the break room for too long. 
neutral || contradiction || some critics fault the younger designers for not taking risks, preferring the continuing inventiveness of such veterans as karl lagerfeld, valentino, and jean-paul gaultier. || young fashion designers take many more risks than necessary.
entailment || neutral || hmos will cut back treatments to the elderly. || hmo's may have adverse and negative effects that cause a concern which then people cut back treatments as a way to prevent people getting hurt. 
neutral || neutral || yeah well yeah i guess i'm going to quit as soon as school the school season's over but uh i really enjoyed being with her up there i hate it for her she has to stay that much longer but um || i really wish i could see her even after schools are over.
entailment || neutral || sample  after admitting that her hubby's strategizing may have kept clinton from being ridden out of d.c. on a rail, matalin predicts that someday, in the history book, you [carville] will look back and rue the day that you helped wage this war the way you have. || her hubby's strategizing would have caused an uproar in both parties.
entailment || neutral || deir abu maker is the most important, having provided several leaders for the coptic church; nearby is deir anba-baramos. || the majority of coptic church leaders have come from the deir abu maker.
contradiction || contradiction || how much do you know? he shot out. || he did not know that they had any knowledge of it.
entailment || contradiction || the health of one of the bravest of america's daughters, to whom is due the thanks and gratitude of two great countries!" 232 chapter 28 and after "that was a mighty good toast, jane," said mr. hersheimmer, as he and his cousin were being driven back in the rolls-royce to the ritz. || mr. hersheimmer and his cousin were being driven to the coast.
entailment || neutral || i don't know i just remember sting was in it || i don't know, i remember sting was the main character in it.
